Generations count0||Total boats:72||TotalPiratesScores:600
Generations count1||Total boats:112||TotalPiratesScores:1222
Generations count2||Total boats:140||TotalPiratesScores:1831
Generations count3||Total boats:216||TotalPiratesScores:2422
Generations count4||Total boats:248||TotalPiratesScores:3010
Generations count5||Total boats:300||TotalPiratesScores:3633
Generations count6||Total boats:324||TotalPiratesScores:4263
Generations count7||Total boats:352||TotalPiratesScores:4894
Generations count8||Total boats:384||TotalPiratesScores:5523
Generations count9||Total boats:408||TotalPiratesScores:6173
Generations count10||Total boats:424||TotalPiratesScores:6810
Generations count11||Total boats:432||TotalPiratesScores:7470
Generations count12||Total boats:444||TotalPiratesScores:8145
Generations count13||Total boats:460||TotalPiratesScores:8780
Generations count14||Total boats:472||TotalPiratesScores:9408
Generations count15||Total boats:484||TotalPiratesScores:10036
Generations count16||Total boats:504||TotalPiratesScores:10692
Generations count17||Total boats:508||TotalPiratesScores:11385
Generations count18||Total boats:508||TotalPiratesScores:12079
Generations count19||Total boats:528||TotalPiratesScores:12727
Generations count20||Total boats:560||TotalPiratesScores:13328
Generations count21||Total boats:572||TotalPiratesScores:13981
Generations count22||Total boats:584||TotalPiratesScores:14660
Generations count23||Total boats:604||TotalPiratesScores:15325
Generations count24||Total boats:624||TotalPiratesScores:15951
Generations count25||Total boats:632||TotalPiratesScores:16623
Generations count26||Total boats:632||TotalPiratesScores:17306
Generations count27||Total boats:632||TotalPiratesScores:18007
Generations count28||Total boats:632||TotalPiratesScores:18732
Generations count29||Total boats:636||TotalPiratesScores:19439
Generations count30||Total boats:636||TotalPiratesScores:20134
Generations count31||Total boats:636||TotalPiratesScores:20849
Generations count32||Total boats:640||TotalPiratesScores:21538
Generations count33||Total boats:640||TotalPiratesScores:22250
Generations count34||Total boats:644||TotalPiratesScores:22933
Generations count35||Total boats:660||TotalPiratesScores:23630
Generations count36||Total boats:676||TotalPiratesScores:24326
Generations count37||Total boats:676||TotalPiratesScores:25027
Generations count38||Total boats:680||TotalPiratesScores:25729
Generations count39||Total boats:680||TotalPiratesScores:26452
Generations count40||Total boats:696||TotalPiratesScores:27162
Generations count41||Total boats:696||TotalPiratesScores:27894
Generations count42||Total boats:704||TotalPiratesScores:28594
Generations count43||Total boats:704||TotalPiratesScores:29328
Generations count44||Total boats:704||TotalPiratesScores:30055
Generations count45||Total boats:704||TotalPiratesScores:30781
Generations count46||Total boats:704||TotalPiratesScores:31515
Generations count47||Total boats:704||TotalPiratesScores:32222
Generations count48||Total boats:704||TotalPiratesScores:32956
Generations count49||Total boats:704||TotalPiratesScores:33681
Generations count50||Total boats:704||TotalPiratesScores:34412
Generations count51||Total boats:708||TotalPiratesScores:35143
Generations count52||Total boats:708||TotalPiratesScores:35874
Generations count53||Total boats:712||TotalPiratesScores:36594
Generations count54||Total boats:712||TotalPiratesScores:37319
Generations count55||Total boats:712||TotalPiratesScores:38044
Generations count56||Total boats:712||TotalPiratesScores:38782
Generations count57||Total boats:712||TotalPiratesScores:39519
Generations count58||Total boats:712||TotalPiratesScores:40260
Generations count59||Total boats:716||TotalPiratesScores:40994
Generations count60||Total boats:716||TotalPiratesScores:41731
Generations count61||Total boats:716||TotalPiratesScores:42476
Generations count62||Total boats:716||TotalPiratesScores:43201
Generations count63||Total boats:716||TotalPiratesScores:43939
Generations count64||Total boats:716||TotalPiratesScores:44678
Generations count65||Total boats:716||TotalPiratesScores:45422
Generations count66||Total boats:720||TotalPiratesScores:46146
Generations count67||Total boats:720||TotalPiratesScores:46879
Generations count68||Total boats:720||TotalPiratesScores:47606
Generations count69||Total boats:720||TotalPiratesScores:48329
Generations count70||Total boats:720||TotalPiratesScores:49066
Generations count71||Total boats:720||TotalPiratesScores:49803
Generations count72||Total boats:720||TotalPiratesScores:50537
Generations count73||Total boats:720||TotalPiratesScores:51272
Generations count74||Total boats:720||TotalPiratesScores:52023
Generations count75||Total boats:720||TotalPiratesScores:52768
Generations count76||Total boats:724||TotalPiratesScores:53507
Generations count77||Total boats:724||TotalPiratesScores:54245
Generations count78||Total boats:724||TotalPiratesScores:54992
Generations count79||Total boats:728||TotalPiratesScores:55720
Generations count80||Total boats:728||TotalPiratesScores:56460
Generations count81||Total boats:732||TotalPiratesScores:57189
Generations count82||Total boats:732||TotalPiratesScores:57931
Generations count83||Total boats:732||TotalPiratesScores:58667
Generations count84||Total boats:732||TotalPiratesScores:59412
Generations count85||Total boats:732||TotalPiratesScores:60155
Generations count86||Total boats:732||TotalPiratesScores:60886
Generations count87||Total boats:732||TotalPiratesScores:61631
Generations count88||Total boats:736||TotalPiratesScores:62361
Generations count89||Total boats:736||TotalPiratesScores:63106
Generations count90||Total boats:736||TotalPiratesScores:63842
Generations count91||Total boats:736||TotalPiratesScores:64592
Generations count92||Total boats:736||TotalPiratesScores:65325
Generations count93||Total boats:736||TotalPiratesScores:66063
Generations count94||Total boats:736||TotalPiratesScores:66798
Generations count95||Total boats:736||TotalPiratesScores:67540
Generations count96||Total boats:736||TotalPiratesScores:68286
Generations count97||Total boats:736||TotalPiratesScores:69025
Generations count98||Total boats:736||TotalPiratesScores:69760
Generations count99||Total boats:736||TotalPiratesScores:70486
Generations count100||Total boats:736||TotalPiratesScores:71222
